,col1,TBh1,TBh2,TBh3,TBh4,TBv1,TBv2,TBv3,TBv4,latDeg,lngDeg,lmebRet
23,3332.94661226857,237.07846869679108,239.10731374284057,239.45439688976663,241.87700142606417,270.0393871425773,270.31755866371,277.4252078576702,278.0427052284392,-37.9105144,145.13536068,0.10241417953900932
24,3332.9467222222593,235.42377977011915,237.60732568227382,238.60770750935993,240.83883277558127,267.8771327507952,266.6395024151958,278.35408992426693,276.43028279357634,-37.91051187,145.1353419,0.11000922022429072
25,3332.9468321759487,227.5258933428578,,232.64297279438108,,265.63569695310133,,273.8881792475783,,-37.91051075,145.13530844,0.13553071795529656
26,3332.946942129638,227.66974431006014,229.77143515464417,231.8453897073003,232.92648985389883,266.504651864795,266.3517701632002,274.55090589402033,274.4464655337759,-37.91051493,145.13527433,0.1323408557789675
27,3332.9470509259263,217.29714376268834,219.08338085776018,221.33542245210015,223.4572117531988,257.1881099931555,257.17076756811207,267.32253185324214,267.0053468480384,-37.91049003,145.13524221,0.1820331910927029
28,3332.9471608796157,221.11466858719444,221.17856116282428,224.30859883550121,225.20495045344393,254.92952050093763,254.36715512505552,266.3925502728176,265.7440902616943,-37.91052762,145.13522949,0.18053580993246104
29,3332.947269675904,204.04601657925394,199.21679745023914,206.96235198961745,203.04630597334125,243.110076707583,235.9018172008848,251.92616603831212,245.17035948931044,-37.91052597,145.13520385,0.28532327929336143
30,3332.9473796295933,201.67887651870592,203.72005568737907,204.5167550899692,208.547404362525,237.1065847305657,237.30349072438005,246.12164470974403,246.87099452091422,-37.91051106,145.1351964,0.2878992240787157
31,3332.947489583399,207.18940402490998,205.91535670374589,209.04183949463476,208.89886572267991,246.72754221979324,244.43516828414147,255.79980645702122,252.41108893756578,-37.91047724954774,145.13519561,0.25376096603562825
32,3332.9475995370885,209.50049955424524,210.1432110579906,212.2519717820196,212.5341608426297,249.36332756197757,249.0121840276362,257.36917122726464,257.2704947674527,-37.91044261,145.13519585,0.2336314148299623
33,3332.947709490778,206.05243556045914,206.287893468178,209.06199258523552,210.5297261415919,245.54711981913854,245.39708581089482,254.13186564835536,253.7599826644658,-37.91039199,145.13515135,0.25350158587093347
34,3332.9478194444673,207.74415992610875,211.94022360927207,209.19214082719074,212.7689826239887,245.56306386734113,246.59846719899065,253.38680591764341,255.0134000928997,-37.91038983,145.13515748,0.2449853608054974
35,3332.9479282407556,208.24349999848613,202.78573294234891,211.08539126571787,207.85570162774664,253.38282223632126,248.71331618589352,261.6977062708252,259.07280325723696,-37.91042737,145.13518534,0.2367427863939099
36,3332.948038194445,205.155942329712,203.03581606866084,205.58122007078427,204.59465068482032,243.4602390569599,245.54043287126774,252.0785293353842,254.61206964168073,-37.91044112,145.13518031,0.2662404730711053
37,3332.948146990733,220.79523456907057,,218.3398482411213,,246.80233242054015,,256.1716410028287,,-37.91044146,145.13513681,0.21516092319278038
38,3332.9484756945167,,183.73929724297193,,186.28267112063156,,214.0505305054341,,223.45914694458048,-37.91040465998995,145.13503681996986,0.4357768289152321
39,3332.948585648206,184.66293263967214,,191.116878791446,,224.1909393151147,,235.15422958479417,,-37.91040866,145.13501181,0.3860086424206842
40,3332.948805555585,231.7707084614249,229.1662574400192,232.03589227938878,231.9630050696296,255.22807784204377,253.99258202772617,265.2804020702811,267.14889944838745,-37.91043742,145.13495799,0.16006556782810835
41,3332.948914351873,234.89877231536576,238.47150861804766,234.97656957385496,240.5454416284575,257.7499565845683,270.7370406684515,272.76408698402486,275.75928280819215,-37.91047226,145.13490363,0.12104699901708582
42,3332.9490243055625,213.83785741425402,,220.34613593962368,,246.88064895021031,,259.81030381174224,,-37.91050046,145.13485737,0.21650142805274497
43,3332.9493541666307,217.02315723863418,,221.02385502021298,,261.66186205941,,268.75518873060685,,-37.91052103,145.13478891,0.17627307331866685
44,3332.9494629630353,218.77975324165234,219.74211521899161,220.29418995789186,222.74182965308088,257.5628813532226,245.0542197004713,266.85499701143016,256.85331733419315,-37.91055280007035,145.1348145500603,0.19817686888434785
45,3332.9495729167247,200.9131598964452,198.80199230602193,205.5455872670915,203.32403812964256,243.1660769686114,239.82986588731956,253.50855629824667,247.00813591686412,-37.91063725,145.13486561,0.28333164875439343
46,3332.9497916667024,224.80527089031526,226.0945585349262,227.63555552380745,227.8724490083703,254.02333650229625,254.22544295896685,263.60424463592216,263.5282682005433,-37.91064601,145.13494992,0.17574699718320275
47,3332.9499016203918,217.6015370516894,217.36798878131816,220.392911052634,221.98449189418375,252.57679468325566,259.9811966049086,264.18981040982334,268.9183875086883,-37.9106397,145.13497036,0.18675649761649424
48,3332.950011574081,230.63678840441645,225.0450128207882,231.54138326558518,227.96382456359638,261.05718924849515,261.93775197454073,269.80287929108556,270.4151710683296,-37.91066556,145.13496522,0.15025970621043194
49,3332.9501215277705,227.5721118351642,229.38891677511657,230.11962968882364,230.67348801770876,262.7684851918196,262.1463987252483,271.49570058952906,270.89499847917796,-37.91071876,145.13493659,0.1457346114466704
50,3332.95023148146,232.55424981375452,230.13842155019748,233.3329994402619,231.53958418793957,260.76765656714855,258.9642591218612,270.49395610237684,268.2772553484819,-37.91075822,145.13495698,0.14644872294403932
51,3332.9503414351493,225.5674846486801,228.35918115821215,227.8215694020031,230.5568024970394,261.95176582785234,265.80742403254874,270.6606845754154,274.2531274030862,-37.91074501,145.13497035,0.1449987262583738
52,3332.950451388955,230.26254326797758,230.1747349757945,233.25354904123913,233.1003906319412,264.9086547512309,264.4861567310372,274.2241468511027,273.8575385570741,-37.9107375400201,145.1349627601005,0.13299536280020396
53,3332.9505613426445,230.8164019979575,230.7701612684772,233.59309349824855,233.27554038153576,266.7407398619822,268.3471925458248,275.9990623203427,277.5596222236215,-37.9107544,145.13500935,0.1236450581024491
54,3332.9506701389328,226.21714827203564,224.61792271466538,229.9861725389389,228.74963575984015,265.70498456690416,263.0471750504424,275.6947276947986,272.04464825301784,-37.9107801,145.1350383,0.14376743363823327
55,3332.950780092622,217.99129986411668,215.33437004627376,221.8484688471552,219.1173774123444,255.78599489469693,252.3894173704112,264.90298268308544,262.8230211976826,-37.9108085,145.13505254,0.19597541968767376
56,3332.9508900463115,227.67423383494202,225.25443547784744,230.21394558424566,227.9264270453043,265.09904299121024,264.4047528373667,274.42965495807994,273.05371282013715,-37.9108318,145.13507634,0.14250586708543397
57,3332.951000000001,220.39870588348333,220.1510856478698,224.35532957261273,224.0344202477547,263.9459855893692,260.946423364051,272.1819940611425,268.9958451709202,-37.9107964,145.13509921,0.16418669163008423
58,3332.9511099536903,201.64671505272645,201.93085349774287,205.4941002420497,205.6047049841361,246.19187292971912,247.16429205413462,256.0998444490231,257.13881102810615,-37.91081376,145.13512432,0.2607150176512036
59,3332.9512187499786,202.0583542659261,203.56362641401316,205.0193700590243,205.79633120570847,247.05924438248232,244.3923365498283,255.99074272903414,252.98636752959908,-37.91081104,145.13516365,0.26409687064755466
60,3332.951328703668,199.43516338523023,199.1232181134922,202.4323100277981,201.44874513631652,243.34434366429824,242.40820978795477,252.86520935895058,251.2950594226036,-37.91085007,145.13519285,0.2832767824889606
61,3332.951438657474,191.75107054167947,188.2376331565689,193.7044743978321,190.26551986680906,233.5542782159246,228.96653020751168,243.28017024450332,238.60650005171743,-37.9108577400201,145.13521260002008,0.35275076819567897
62,3332.951547453762,204.18316323619936,206.6566766301625,207.44679211848157,210.0154384689114,244.06909590922103,247.40031158714268,254.2156517529327,256.4070159229731,-37.9108276199799,145.13524069003014,0.25376536607131145
63,3332.9516574074514,216.788221222326,213.043318774102,220.1742194281134,217.07265364458655,257.7613540057852,258.33868456714305,265.75024930494897,267.15774743135233,-37.91082652,145.13526932,0.1910539491418172
64,3332.9517662037397,206.90871230607914,207.08744503632838,210.62976873408167,210.65255859894754,252.97514486453244,251.72764606092832,262.6313788808537,262.26514310258756,-37.91090339,145.13527965,0.22775430775237865
65,3332.951876157429,215.62890095801475,215.04423247379347,219.51828827196542,219.25816658609156,256.5864326575271,258.0741281642469,264.8688417627789,267.1577105964757,-37.91091007,145.13529646,0.19120660826126937
66,3332.9519861111185,223.60933950528675,227.3396236842782,227.47505240295993,230.11966294574793,261.9288799818045,263.6313143540237,270.2856085184164,271.7114551487289,-37.91089931,145.13532361,0.15101466795994803
67,3332.9520949074067,225.36357189067004,223.6626180058035,228.51778807172036,227.52750403665743,265.4557296390028,261.8413488947217,274.8377925225382,271.9336955372079,-37.91087976,145.13534944,0.1482775960364925
68,3332.952204861096,221.16308795688278,222.00283688565565,224.9937277137937,225.49879192994334,259.90851228263233,260.98973328923,269.61689626992734,271.0052948323748,-37.9108638,145.13538593,0.16459679020650322
69,3332.9523148147855,220.3748592214516,218.5248316468658,223.84312928876156,222.59136181793966,260.0187013837362,259.6103388013852,269.0939815952302,270.6100327558831,-37.91087538,145.13542246,0.17146422556024238
70,3332.95242361119,194.60981226604355,189.025045687319,197.3826563416256,192.36970327503195,233.64541746485244,229.49847474798742,244.79704079493146,240.3091943916355,-37.91087036987939,145.1354527200603,0.3410981070557768
71,3332.9525335648796,183.21665187103568,188.16711570480902,187.46058194167384,190.99703299924516,222.04316749838873,223.55109017650713,232.8151193588623,234.3977555241675,-37.91086465,145.13549001005026,0.3927198901125817
72,3332.952642361168,187.55652879365618,190.46036503248976,192.10092361176743,193.84241813651494,223.75465685267727,227.76358394669896,235.64052525321276,238.0767669232874,-37.91087153,145.13553414,0.368737934867699
73,3332.952752314857,190.8794272144657,199.2002799736115,195.21779744793835,203.07979547463114,229.84274105960236,241.25754982478085,240.44781075233394,252.447516392774,-37.910871,145.13555967,0.3153409739962882
74,3332.9528622685466,212.79936293996653,214.2232331117844,216.48163760983812,217.57710480588602,255.3604116013794,254.46850040898437,268.1533006479181,266.20144241184676,-37.91086285,145.13557201,0.19869280477809123
75,3332.952972222236,215.0217823437425,211.05336692956976,218.2317934485179,214.18660708262766,250.1589905912946,249.36708178924033,261.50256346795993,262.66352311947537,-37.91084397,145.13558868,0.21572127880759692
76,3332.9530821759254,204.74738905302522,202.33184313001723,207.582728722673,205.91146935158653,239.11107700968765,238.16516208457358,252.63677175262015,252.11852937884845,-37.91084216,145.13562457,0.2749956748273261
77,3332.9531909722136,205.80351376921354,212.49709628436995,209.7677928277705,217.130114918153,243.52560104608932,253.337738992285,257.65097560493905,265.56171786392787,-37.9108445,145.13565298,0.22779031995308294
78,3332.953300925903,237.6343164717527,237.69684170411495,241.7217248209328,241.07467717990954,272.3202361180989,273.6264081709271,283.20901606853323,284.97815666469063,-37.91085142,145.13568179,0.0877037865418488
