n_recs,evals_Linear Regression_rmse,evals_Linear Regression_mae,evals_Linear Regression_r2,evals_Decision Tree_rmse,evals_Decision Tree_mae,evals_Decision Tree_r2,evals_Random Forest_rmse,evals_Random Forest_mae,evals_Random Forest_r2,evals_Gradient Boosted Tree_rmse,evals_Gradient Boosted Tree_mae,evals_Gradient Boosted Tree_r2
1120,0.0374,0.029,0.4408,0.0162,0.0077,0.8958,0.0204,0.0136,0.8334,0.0128,0.0055,0.935
1130,0.0374,0.029,0.4414,0.0189,0.0087,0.857,0.022,0.015,0.8068,0.0156,0.0066,0.9026
1140,0.0375,0.029,0.439,0.0198,0.0089,0.8439,0.0211,0.014,0.8218,0.0172,0.0066,0.8819
1150,0.0375,0.029,0.4402,0.0177,0.0082,0.8758,0.0221,0.0147,0.8055,0.0146,0.006,0.9153
1160,0.0375,0.0289,0.4386,0.0171,0.0081,0.8832,0.0211,0.0144,0.8224,0.0147,0.0062,0.9136
1170,0.0376,0.0289,0.4384,0.0179,0.0086,0.873,0.0213,0.014,0.8203,0.0147,0.0064,0.9144
1180,0.0377,0.029,0.4374,0.017,0.0082,0.8858,0.0203,0.0136,0.836,0.014,0.0061,0.9226
1190,0.0373,0.029,0.4473,0.0175,0.0084,0.8784,0.0209,0.0142,0.8257,0.0147,0.0063,0.9141
1200,0.0373,0.029,0.4479,0.017,0.0083,0.8852,0.0206,0.0139,0.8325,0.0138,0.006,0.9241
1210,0.0373,0.029,0.4483,0.0178,0.0085,0.8741,0.0205,0.0137,0.8326,0.0149,0.0064,0.9119
1220,0.0373,0.029,0.4476,0.0177,0.0085,0.8757,0.0209,0.0142,0.8271,0.0152,0.0066,0.9088
1230,0.0374,0.029,0.4463,0.0186,0.0089,0.8624,0.0215,0.0144,0.816,0.0155,0.0066,0.9042
1240,0.0374,0.029,0.4461,0.0183,0.0088,0.8665,0.0213,0.0141,0.8198,0.0152,0.0065,0.9081
1250,0.0373,0.0289,0.4468,0.0178,0.0083,0.8744,0.0214,0.0141,0.8176,0.0156,0.0065,0.903
1260,0.0373,0.0289,0.4471,0.0178,0.0083,0.8737,0.0202,0.0132,0.8375,0.0154,0.0063,0.9053
1270,0.0374,0.0289,0.4453,0.0176,0.0083,0.8765,0.0204,0.0134,0.8347,0.0155,0.0065,0.9045
1280,0.0375,0.029,0.444,0.0172,0.0082,0.8828,0.0213,0.0147,0.8213,0.0149,0.006,0.9127
1290,0.0375,0.0289,0.4436,0.0177,0.0084,0.8757,0.021,0.014,0.8246,0.015,0.0062,0.9113
1300,0.0375,0.029,0.4423,0.018,0.0085,0.8712,0.0212,0.0143,0.8215,0.016,0.0064,0.8983
1310,0.0376,0.029,0.4405,0.0178,0.0084,0.8746,0.0219,0.0141,0.8103,0.0156,0.0066,0.9036
