Datetime|TBH_40|TBV_40|TBH_45|TBV_45|TBH_50|TBV_50|TBH_55|TBV_55|TBH_60|TBV_60|TBH_65|TBV_65|TBH_70|TBV_70|Avg_SM_LC|Avg_STS_LC|Avg_STD_LC|LAI_hants
8/7/2016 19:15|244.84387|261.3993|241.35161|263.22562|234.79025|262.9673|225.27396|261.01935|215.05063|257.87082|202.20195|251.80302|184.95724|239.73386|0.19583158|295.45|290.4375|5.97
8/7/2016 19:30|244.7862|261.2241|241.51146|263.06946|234.82841|262.64465|225.2365|260.66266|215.10771|257.55203|202.31784|251.32799|185.16966|239.40619|0.19566841|295.25|290.4625|5.97
8/7/2016 19:45|244.4885|260.76105|241.31749|262.68335|234.81718|262.4329|225.43866|260.4245|215.21182|257.11957|202.43806|251.00948|185.23341|238.9146|0.1956421|294.91666|290.46875|5.97
8/7/2016 20:00|244.4374|260.54474|241.17197|262.25803|234.60077|261.8471|225.2402|259.97183|215.0365|256.66296|202.4139|250.5103|185.40002|238.6676|0.19563684|294.58334|290.48126|5.97
8/7/2016 20:15|244.4693|260.52496|241.1834|262.1103|234.84912|261.67035|225.47859|259.6029|215.42833|256.41333|202.88213|250.34338|185.7623|238.33383|0.19561578|294.25|290.48126|5.97
8/7/2016 20:30|244.46815|259.98273|241.2917|261.87888|234.75467|261.3021|225.47809|259.18768|215.44173|255.79779|202.78925|249.88898|185.93909|237.77606|0.19560526|293.88333|290.4875|5.97
8/7/2016 20:45|244.30971|259.73605|241.39438|261.42703|235.06502|261.06073|225.73198|258.8438|215.94191|255.76521|203.30798|249.5344|186.43692|237.31972|0.19558421|293.51666|290.49374|5.97
8/7/2016 21:00|244.41429|259.35217|241.22198|261.1844|235.04628|260.6211|225.89882|258.45352|216.11668|255.0527|203.63594|249.074|186.834|236.9885|0.19549474|293.18332|290.48126|5.97
8/7/2016 21:15|244.37782|259.16382|241.42513|260.88278|235.22102|260.3774|226.0144|258.1138|216.5125|255.04002|204.21584|248.89746|187.37036|236.77104|0.19545263|292.85|290.48126|5.97
8/7/2016 21:30|244.43065|258.98813|241.32932|260.42606|235.3486|260.06033|226.54977|257.91144|216.7593|254.56648|204.67027|248.43884|188.03162|236.44128|0.19545263|292.48334|290.46875|5.97
8/7/2016 21:45|244.4634|258.9486|241.57414|260.6104|235.6378|260.10327|226.83899|257.74893|217.21489|254.466|205.09625|248.46718|188.4792|236.49777|0.19543158|292.21667|290.44376|5.97
8/7/2016 22:00|244.50768|258.6541|241.64287|260.35352|235.73245|259.84167|227.06837|257.52863|217.53456|254.2893|205.3523|248.14824|188.83687|236.05005|0.19541052|291.91666|290.43124|5.97
8/7/2016 22:15|244.54668|258.54404|241.5859|260.23157|235.82735|259.5413|227.19458|257.31747|217.86943|254.01108|205.90193|248.03123|189.37071|235.9347|0.1954|291.58334|290.4125|5.97
8/7/2016 22:30|244.72446|258.51044|241.90211|260.21802|236.01508|259.51477|227.60255|257.32443|218.35532|254.078|206.33266|247.96558|190.04987|235.89775|0.19532105|291.35|290.38126|5.97
8/7/2016 22:45|244.84044|258.39874|241.8342|260.04877|236.245|259.41238|227.81844|257.10852|218.76753|253.74677|206.87279|247.56686|190.62953|235.78683|0.19523159|290.98334|290.35|5.97
8/7/2016 23:00|244.66881|258.1847|241.95464|259.8853|236.47957|259.3377|228.17014|257.14883|219.09473|253.88434|207.45276|247.71658|191.41368|235.78381|0.19527368|290.71667|290.34375|5.97
8/7/2016 23:15|244.97433|258.25012|242.11002|259.6961|236.71822|259.27463|228.62105|257.04504|219.53946|253.58798|208.26013|247.78453|192.25021|235.80064|0.19522631|290.48334|290.30624|5.97
8/7/2016 23:30|244.86511|257.8858|242.34486|259.81775|236.89853|259.0091|229.00563|257.03372|220.24455|253.62195|208.69408|247.59595|192.77393|235.79602|0.19523685|290.25|290.28125|5.97
