Tbvcol,Tbhcol,stemp,dtemp,lai,true_sm,ret_sm
252.08655,268.21817,298.65,290.025,5.84,0.18801053,0.112991994667331
253.16473,270.06665,298.58334,290.08124,5.84,0.18796842,0.106793310379938
253.31282,270.4796,298.31665,290.125,5.84,0.1879421,0.104967340780517
253.24928,270.31088,298.21667,290.2,5.84,0.18787895,0.105215834047202
253.77507,270.7085,297.81665,290.25626,5.84,0.18785264,0.102097952272564
253.99432,270.7574,297.65,290.3,5.84,0.1878579,0.101029136082321
254.17873,270.71664,297.55,290.35626,5.84,0.18777369,0.100407029059447
254.23141,270.64093,297.45,290.40625,5.84,0.18777369,0.100174659651195
254.29749,270.3637,297.41666,290.46875,5.84,0.18774737,0.100449497362719
254.22136,270.35294,297.08334,290.5125,5.84,0.18774737,0.0997730292521373
254.30228,270.24585,296.91666,290.54376,5.84,0.18766315,0.0993140597316853
254.22177,269.8198,296.65,290.5875,5.84,0.1876421,0.0995337852904921
254.08365,269.53067,296.38333,290.61874,5.84,0.18757369,0.0996585874657643
254.14719,269.4816,296.08334,290.63126,5.84,0.18750526,0.0987565875375296
253.96709,269.20004,295.68332,290.66876,5.84,0.18742105,0.0986118288368157
253.97717,268.7071,295.48334,290.6875,5.84,0.18742105,0.0988712307834418
253.41563,268.17484,295.18332,290.70624,5.83,0.18733157,0.100359460637556
252.74014,267.08838,294.88333,290.725,5.83,0.18735263,0.103063256390497
253.19836,267.33234,294.58334,290.725,5.83,0.18737894,0.100663120404128
253.16838,267.21213,294.21667,290.74374,5.83,0.18732105,0.0999429182895804
252.76678,266.76462,293.95,290.725,5.83,0.1873,0.100930688612262
253.01646,266.72076,293.5833,290.725,5.83,0.18723685,0.0993710325923394
252.7218,266.21866,293.21667,290.71875,5.83,0.18718947,0.0999184188438562
252.6674,265.96555,292.95,290.70624,5.83,0.18714736,0.0997273332402334
252.66254,265.48932,292.61667,290.7,5.83,0.18710527,0.0996082502899197
252.59302,265.49976,292.35,290.675,5.83,0.18703684,0.0990059195401961
252.52922,265.2316,292.11667,290.66876,5.83,0.1870579,0.0989634683949769
252.60744,265.21198,291.91666,290.6375,5.83,0.18699473,0.0982245092195947
252.61185,265.00433,291.78333,290.625,5.83,0.18693158,0.0981796591791304
252.65001,264.9151,291.58334,290.59375,5.83,0.18692105,0.0976561019761186
252.55316,264.84064,291.51666,290.56876,5.83,0.1869,0.0978074850943948
252.98308,264.9638,291.41666,290.55624,5.83,0.18687369,0.0962665647681291
252.91516,264.75253,291.21667,290.51874,5.83,0.18683684,0.096198838610439
253.0941,265.17917,291.01666,290.48126,5.83,0.18678421,0.0944931476038718
253.26732,265.08667,290.78333,290.475,5.83,0.18676315,0.0935953194147214
253.33087,265.08276,290.61667,290.45,5.83,0.1867158,0.0929793113672018
253.2402,265.02856,290.41666,290.41876,5.83,0.18669474,0.0927272057994214
253.23102,264.8298,290.25,290.39374,5.82,0.18667369,0.0926021551516155
252.89943,264.4814,290.18335,290.3625,5.82,0.18658948,0.0937563924382713
252.57169,264.00488,289.85,290.3125,5.82,0.1865,0.0943861533543218
252.58653,264.19186,289.71667,290.2875,5.82,0.18652105,0.0936716399070013
252.42113,263.92245,289.55,290.25,5.82,0.1864421,0.0940248867055743
252.29472,263.5344,289.41666,290.225,5.82,0.18637368,0.0945762517524677
252.25848,263.72028,289.35,290.2,5.82,0.18639474,0.0941619082133496
252.20876,263.45438,289.11667,290.16876,5.82,0.18633685,0.0940626610110328
252.23454,263.3814,288.94998,290.1625,5.82,0.18631579,0.0936755343815989
252.20126,263.28238,288.71667,290.13126,5.82,0.1863,0.093271654509969
252.20062,263.2896,288.55,290.1,5.82,0.18627368,0.0927938974765178
251.89758,262.83804,288.35,290.0625,5.82,0.18627368,0.0936819716024236
251.77983,262.58536,288.21667,290.04376,5.82,0.18623158,0.094001648802338
251.76616,262.49887,288.08334,290.00626,5.82,0.18621053,0.0937835641074058
251.65398,262.36108,287.88333,289.98126,5.82,0.18619473,0.0937265695732812
251.65625,262.40234,287.61667,289.9375,5.82,0.18616316,0.0929173605279661
251.92181,262.61334,287.58334,289.91876,5.82,0.18603684,0.0918399500506796
251.80026,262.27908,287.45,289.8875,5.82,0.18603684,0.0922841812528056
251.50107,261.87122,287.31665,289.85626,5.82,0.18599474,0.0932697613393574
251.52809,261.83817,287.25,289.81876,5.81,0.18602106,0.0930427436733482
251.47362,261.8207,287.08334,289.7875,5.81,0.186,0.0927370487756651
251.56123,261.83203,287.01666,289.75626,5.81,0.18586843,0.0923026986328277
251.57191,261.82776,286.85,289.7375,5.81,0.18591578,0.0918371259613723
251.55975,261.7861,286.75,289.6875,5.81,0.18586843,0.0916190694819984
251.52724,261.75272,286.51666,289.66876,5.81,0.18575263,0.0911356313520835
251.54977,261.69144,286.38333,289.6375,5.81,0.18571053,0.090804768508652
251.54393,261.57596,286.35,289.60626,5.81,0.18564737,0.0908791523933531
